target_id,field,source_value,source_valid,protocol_code,decoded_value,decoded_valid,absolute_error/tolerance,passed
7c8066,lat,49.3929,True,3248089,49.39289078542964,True,9.21457e-06/4.29154e-05,True
7c8066,lon,11.6172,True,2232502,11.617229370410314,True,2.93704e-05/8.58307e-05,True
7c8066,altitude,12184.38,True,13184,12184.0,True,0.38/1,True
7c8066,speed,244.2,True,2442,244.20000000000002,True,2.84217e-14/0.1,True
7c8066,heading,293.59,True,29359,293.59000000000003,True,5.68434e-14/0.01,True
7c8066,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
7c8066,callsign,QFA219,True,,QFA219,True,N/A,True
45ce47,lat,48.5472,True,3228383,48.54720081024189,True,8.10242e-07/4.29154e-05,True
45ce47,lon,6.2991,True,2170541,6.299072813766685,True,2.71862e-05/8.58307e-05,True
45ce47,altitude,11887.2,True,12887,11887.0,True,0.2/1,True
45ce47,speed,233.64,True,2336,233.60000000000002,True,0.04/0.1,True
45ce47,heading,181.51,True,18151,181.51,True,0/0.01,True
45ce47,vertical_rate,0.0,True,32768,0.0,True,0/0.01,True
45ce47,callsign,SRR6382,True,,SRR6382,True,N/A,True
3c5434,lat,45.7476,True,3163148,45.747617661384965,True,1.76614e-05/4.29154e-05,True
3c5434,lon,8.7767,True,2199407,8.776662058034418,True,3.7942e-05/8.58307e-05,True
3c5434,altitude,3398.52,True,4399,3399.0,True,0.48/1,True
3c5434,speed,176.54,True,1765,176.5,True,0.04/0.1,True
3c5434,heading,148.95,True,14895,148.95000000000002,True,2.84217e-14/0.01,True
3c5434,vertical_rate,-6.5,True,32118,-6.5,True,0/0.01,True
3c5434,callsign,BCS6GA,True,,BCS6GA,True,N/A,True
4b5d62,lat,47.4577,True,3202996,47.45770870630949,True,8.70631e-06/4.29154e-05,True
4b5d62,lon,8.5625,True,2196912,8.562514439228636,True,1.44392e-05/8.58307e-05,True
4b5d62,altitude,,False,0,,False,N/A,True
4b5d62,speed,2.83,True,28,2.8000000000000003,True,0.03/0.1,True
4b5d62,heading,272.81,True,27281,272.81,True,0/0.01,True
4b5d62,vertical_rate,,False,0,,False,N/A,True
4b5d62,callsign,VIKTOR21,True,,VIKTOR21,True,N/A,True
4b5d54,lat,47.4581,True,3203005,47.45809494449972,True,5.0555e-06/4.29154e-05,True
4b5d54,lon,8.5499,True,2196765,8.549897325014427,True,2.67499e-06/8.58307e-05,True
4b5d54,altitude,,False,0,,False,N/A,True
4b5d54,speed,4.12,True,41,4.1000000000000005,True,0.02/0.1,True
4b5d54,heading,275.62,True,27562,275.62,True,0/0.01,True
4b5d54,vertical_rate,,False,0,,False,N/A,True
4b5d54,callsign,GALA6,True,,GALA6,True,N/A,True
4b5d6e,lat,47.441,True,3202607,47.44101463342062,True,1.46334e-05/4.29154e-05,True
4b5d6e,lon,8.5624,True,2196911,8.562428608519696,True,2.86085e-05/8.58307e-05,True
4b5d6e,altitude,,False,0,,False,N/A,True
